,addresses
spell-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x090185f2135308bad17527004364ebcc2d37e5f6'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0xce1bffbd5374dac86a2893119683f4911a2f7814'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x468003b688943977e6130f4f68f23aad939a1040'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x3e6648c5a70a150a88bce65f4ad4d506fe15d2af'}}"
spectrum-finance,"{'': {'decimal_place': None, 'contract_address': ''}}"
sphere-finance,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0x62f594339830b90ae4c084ae7d223ffafd9658a7'}}"
spiritswap,"{'fantom': {'decimal_place': 18, 'contract_address': '0x5cc61a78f164885776aa610fb0fe1257df78e59b'}}"
spool-dao-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x40803cea2b2a32bda1be61d3604af6a814e70976'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xeca14f81085e5b8d1c9d32dcb596681574723561'}}"
serum,"{'ethereum': {'decimal_place': 6, 'contract_address': '0x476c5e26a75bd202a9683ffd34359c0cc15be0ff'}, 'solana': {'decimal_place': 6, 'contract_address': 'SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt'}, 'tomochain': {'decimal_place': 4, 'contract_address': '0xc01643ac912b6a8ffc50cf8c1390934a6142bc91'}, 'energi': {'decimal_place': 6, 'contract_address': '0x83af4137ed450f4765a72831dd938b5203f5d2fb'}}"
sirius-finance,"{'astar': {'decimal_place': 18, 'contract_address': '0x9448610696659de8f72e1831d392214ae1ca4838'}}"
socialswap-token,"{'tron': {'decimal_place': 8, 'contract_address': 'TBLQs7LqUYAgzYirNtaiX3ixnCKnhrVVCe'}}"
xdai-stake,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x0ae055097c6d159879521c384f1d2123d1f195e6'}, 'sora': {'decimal_place': 18, 'contract_address': '0x005476064ff01a847b1c565ce577ad37105c3cd2a2e755da908b87f7eeb4423b'}, 'xdai': {'decimal_place': 18, 'contract_address': '0xb7d311e2eb55f2f68a9440da38e7989210b9a05e'}, 'energi': {'decimal_place': 18, 'contract_address': '0xb9acfe14ef575cb043ffde23922c2bf97651a207'}}"
short-term-t-bill-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x530824da86689c9c17cdc2871ff29b058345b44a'}}"
steakhut-finance,"{'avalanche': {'decimal_place': 18, 'contract_address': '0xb279f8dd152b99ec1d84a489d32c35bc0c7f5674'}}"
stellaswap,"{'moonbeam': {'decimal_place': 18, 'contract_address': '0x0e358838ce72d5e61e0018a2ffac4bec5f4c88d2'}}"
stargate-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x6694340fc020c5e6b96567843da2df01b2ce1eb6'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x296f55f8fb28e498b858d0bcda06d955b2cb3f97'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xb0d502e938ed5f4df2e681fe6e419ff29631d62b'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590'}}"
standard-protocol,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x9040e237c3bf18347bb00957dc22167d0f2b999d'}}"
pangea-governance-token,"{'klay-token': {'decimal_place': 18, 'contract_address': '0xb49e754228bc716129e63b1a7b0b6cf27299979e'}}"
stride,"{'osmosis': {'decimal_place': None, 'contract_address': 'ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4'}}"
strike,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x74232704659ef37c08995e386a2e26cc27a8d7b1'}}"
stackswap,"{'stacks': {'decimal_place': 6, 'contract_address': 'SP1Z92MPDQEWZXW36VX71Q25HKF5K2EPCJ304F275.stsw-token-v4a'}, 'polygon-pos': {'decimal_place': 6, 'contract_address': '0xfc77cc32e570baec16f69dded556a35811b5a6ce'}, 'ethereum': {'decimal_place': 6, 'contract_address': '0x1c98b54d673c026c8286badca3e840aaf72931a3'}}"
sudoswap,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x3446dd70b2d52a6bf4a5a192d9b0a161295ab7f9'}}"
sun-token,"{'tron': {'decimal_place': 18, 'contract_address': 'TSSMHYeV2uE9qYH95DqyoCuNCzEL1NvU3S'}}"
sundaeswap,"{'': {'decimal_place': None, 'contract_address': ''}}"
sunny-aggregator,"{'solana': {'decimal_place': 6, 'contract_address': 'SUNNYWgPQmFxe9wTZzNK7iPnJ3vYDrkgnxJRJm1s3ag'}}"
sushi,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}, 'near-protocol': {'decimal_place': 18, 'contract_address': '6b3595068778dd592e39a122f4f5a5cf09c90fe2.factory.bridge.near'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x947950bcc74888a40ffa2593c5798f11fc9124c4'}, 'solana': {'decimal_place': 8, 'contract_address': 'ChVzxWRmrTeSgwd3Ui3UumcN8KX7VK3WaD4KGeSKpypj'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xd4d42f0b6def4ce0383636770ef773390d85c61a'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x37b608519f91f70f2eeb0e5ed9af4061722e4f76'}, 'fantom': {'decimal_place': 18, 'contract_address': '0xae75a438b2e0cb8bb01ec1e1e376de11d44477cc'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0xbec775cb42abfa4288de81f387a9b1a3c4bc552a'}, 'sora': {'decimal_place': 18, 'contract_address': '0x0078f4e6c5113b3d8c954dff62ece8fc36a8411f86f1cbb48a52527e22e73be2'}, 'celo': {'decimal_place': 18, 'contract_address': '0xd15ec721c2a896512ad29c671997dd68f9593226'}, 'energi': {'decimal_place': 18, 'contract_address': '0x32aff6adc46331dac93e608a9cd4b0332d93a23a'}}"
savvy-defi,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x43ab8f7d2a8dd4102ccea6b438f6d747b1b9f034'}}"
trustswap,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xcc4304a31d09258b0029ea7fe63d032f52e44efe'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x82443a77684a7da92fdcb639c8d2bd068a596245'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x3809dcdd5dde24b37abe64a5a339784c3323c44f'}, 'avalanche': {'decimal_place': None, 'contract_address': '0xc7b5d72c836e718cda8888eaf03707faef675079'}, 'energi': {'decimal_place': 18, 'contract_address': '0x324a1e5707f356218356c95cfe20d5d9b1440f30'}}"
stakewise,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x48c3399719b582dd63eb5aadf12a40b4c3f52fa2'}}"
swop,"{'waves': {'decimal_place': 8, 'contract_address': 'Ehie5xYpeN8op1Cctc6aGUrqx8jq3jtf1DSjXDbfm7aT'}}"
ezkalibur,"{'zksync': {'decimal_place': None, 'contract_address': '0x240f765af2273b0cab6caff2880d6d8f8b285fa4'}}"
kava-swap,"{'': {'decimal_place': None, 'contract_address': ''}}"
swapr,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x6cacdb97e3fc8136805a9e7c342d866ab77d0957'}, 'xdai': {'decimal_place': 18, 'contract_address': '0x532801ed6f82fffd2dab70a19fc2d7b2772c4f4b'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xde903e2712288a1da82942dddf2c20529565ac30'}}"
swerve-dao,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xb8baa0e4287890a5f79863ab62b7f175cecbd433'}}"
swipe,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x47bead2563dcbf3bf2c9407fea4dc236faba485a'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x77d046614710fddf5ca3e3ce85f4f09f7abc283c'}}"
synapse-2,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x0f2d719407fdbeff09d87557abb7232601fd9f29'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xa4080f1778e69467e905b8d6f72f6e441f9e9484'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x5a5fff6f753d7c11a56a52fe47a177a87e431655'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x080f6aed32fc474dd5717105dba5ea57268f46eb'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xf8f9efc0db77d8881500bb06ff5d6abc3070e695'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x1f1e7c893855525b303f99bdf5c3c05be09ca251'}, 'fantom': {'decimal_place': 18, 'contract_address': '0xe55e19fb4f2d85af758950957714292dac1e25b2'}}"
synthswap,"{'base': {'decimal_place': 18, 'contract_address': '0xbd2dbb8ecea9743ca5b16423b4eaa26bdcfe5ed2'}}"
threshold-network-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xcdf7028ceab81fa0c6971208e83fa7872994bee5'}}"
tai-money,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xf915110898d9a455ad2da51bf49520b41655ccea'}}"
tangoswap,"{'smartbch': {'decimal_place': 18, 'contract_address': '0x73be9c8edf5e951c9a0762ea2b1de8c8f38b5e91'}}"
tarot,"{'fantom': {'decimal_place': 18, 'contract_address': '0xc5e2b037d30a390e62180970b3aa4e91868764cd'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0x837d904a3799c0769079be9ecbaddf1abd4ccd6e'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xa8cd6e4bf45724d3ac27f9e31e47ba4e399a7b52'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x6688b00f0c23a4a546beaae51a7c90c439895d48'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x375488f097176507e39b9653b88fdc52cde736bf'}}"
rebasing-tbt,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x07ac55797d4f43f57ca92a49e65ca582cc287c27'}}"
ten,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xd15c444f1199ae72795eba15e8c1db44e47abf62'}}"
tethys-finance,"{'metis-andromeda': {'decimal_place': 18, 'contract_address': '0x69fdb77064ec5c84fa2f21072973eb28441f43f3'}}"
tetu,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0x255707b70bf90aa112006e1b07b9aea6de021424'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x65c9d9d080714cda7b5d58989dc27f897f165179'}}"
thales,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x8947da500eb47f82df21143d0c01a29862a8c3c5'}, 'base': {'decimal_place': 18, 'contract_address': '0xf34e0cff046e154cafcae502c7541b9e5fd8c249'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xe85b662fe97e8562f4099d8a1d5a92d4b453bf30'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x217d47011b23bb961eb6d93ca9945b7501a5bb11'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x692c44990e4f408ba0917f5c78a83160c1557237'}}"
thena,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xf4c8e32eadec4bfe97e0f595add0f4450a863a11'}}"
thala,"{'aptos': {'decimal_place': 8, 'contract_address': '0x7fd500c11216f0fe3095d0c4b8aa4d64a4e2e04f83758462f2b127255643615::thl_coin::thl'}}"
tidal-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x29cbd0510eec0327992cd6006e63f9fa8e7f33b7'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xb41ec2c036f8a42da384dde6ada79884f8b84b26'}}"
tigris,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x3a33473d7990a605a88ac72a78ad4efc40a54adb'}}"
chronobank,"{'ethereum': {'decimal_place': 8, 'contract_address': '0x485d17a6f1b8780392d53d64751824253011a260'}, 'binance-smart-chain': {'decimal_place': 6, 'contract_address': '0x3b198e26e473b8fab2085b37978e36c9de5d7f68'}}"
titi-governance-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x3bdffa70f4b4e6985eed50453c7c0d4a15dcec52'}, 'zksync': {'decimal_place': 18, 'contract_address': '0x4ebfb78c4780c304dff7de518db630b67e3f044b'}}"
tender-fi,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xc47d9753f3b32aa9548a7c3f30b6aec3b2d2798c'}}"
tangible,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0x49e6a20f1bbdfeec2a8222e052000bbb14ee6007'}}"
tokemak,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x2e9d63788249371f1dfc918a52f8d799f4a38c94'}}"
tomb,"{'fantom': {'decimal_place': 18, 'contract_address': '0x6c021ae822bea943b2e66552bde1d2696a53fbb7'}, 'tombchain': {'decimal_place': 18, 'contract_address': '0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x8f01d597d2022656494e30fb76eccf1eea2e092e'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0xb84527d59b6ecb96f433029ecc890d4492c5dce1'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x0e98c977b943f06075b2d795794238fbfb9b9a34'}}"
daytona-finance,"{'pulsechain': {'decimal_place': 18, 'contract_address': '0x9f8182ad65c53fd78bd07648a1b3ddcb675c6772'}}"
tectonic,"{'cronos': {'decimal_place': 18, 'contract_address': '0xdd73dea10abc2bff99c60882ec5b2b81bb1dc5b2'}}"
tornado-cash,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x77777feddddffc19ff86db637967013e6c6a116c'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x1ba8d3c4c219b124d351f603060663bd1bcd9bbf'}}"
tranquil-finance,"{'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0xcf1709ad76a79d5a60210f23e81ce2460542a836'}}"
trisolaris,"{'aurora': {'decimal_place': 18, 'contract_address': '0xfa94348467f64d5a457f75f8bc40495d33c65abb'}}"
nitro-cartel,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x982239d38af50b0168da33346d85fb12929c4c07'}}"
truefi,"{'ethereum': {'decimal_place': 8, 'contract_address': '0x4c19596f5aaff459fa38b0f7ed92f11ae6543784'}}"
thunder-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x1e053d89e08c24aa2ce5c5b4206744dc2d7bd8f5'}}"
solfarm,"{'solana': {'decimal_place': 6, 'contract_address': 'TuLipcqtGVXP9XR62wM8WWCm6a9vhLs7T1uoWBk6FDs'}}"
ubeswap,"{'celo': {'decimal_place': 18, 'contract_address': '0x00be915b9dcf56a3cbe739d9b9c202ca692409ec'}}"
unifarm,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x40986a85b4cfcdb054a6cbfb1210194fee51af88'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xa7305ae84519ff8be02484cda45834c4e7d13dd6'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x0a356f512f6fce740111ee04ab1699017a908680'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0xd60effed653f3f1b69047f2d2dc4e808a548767b'}}"
unlend-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x0202be363b8a4820f3f4de7faf5224ff05943ab1'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x2645d5f59d952ef2317c8e0aaa5a61c392ccd44d'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x5b4cf2c120a9702225814e18543ee658c5f8631e'}}"
ultron,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x5aa158404fed6b4730c13f49d3a7f820e14a636f'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x8867f422cd9cf0c66ba71d22bc8edc641e91949d'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xfa5d5dd2517ee9c1419534a16b132adde2e3d948'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xd983ab71a284d6371908420d8ac6407ca943f810'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0xc685e8eddc9f078666794cbfcd8d8351bac404ef'}}"
umami-finance,"{'arbitrum-one': {'decimal_place': 9, 'contract_address': '0x1622bf67e6e5747b81866fe0b85178a93c7f86e3'}}"
umee,"{'ethereum': {'decimal_place': 6, 'contract_address': '0xc0a4df35568f116c370e6a6a6022ceb908eeddac'}}"
unicrypt-2,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xadb2437e6f65682b85f814fbc12fec0508a7b1d0'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x09a6c44c3947b69e2b45f4d51b67e6a39acfb506'}, 'xdai': {'decimal_place': 18, 'contract_address': '0x0116e28b43a358162b96f70b4de14c98a4465f25'}}"
unifi-protocol-dao,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x441761326490cacf7af299725b6292597ee822c2'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x728c5bac3c3e370e372fc4671f9ef6916b814d8b'}}"
uniswap,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x1f9840a85d5af5bf1d1762f925bdaddc4201f984'}, 'xdai': {'decimal_place': 18, 'contract_address': '0x4537e328bf7e4efa29d05caea260d7fe26af9d74'}, 'near-protocol': {'decimal_place': 18, 'contract_address': '1f9840a85d5af5bf1d1762f925bdaddc4201f984.factory.bridge.near'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xbf5140a22578168fd562dccf235e5d43a02ce9b1'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xfa7f8980b0f1e64a2062791cc3b0871572f1f7f0'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xb33eaad8d922b1083446dc23f610c2567fb5180f'}, 'huobi-token': {'decimal_place': 18, 'contract_address': '0x22c54ce8321a4015740ee1109d9cbc25815c46e6'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x6fd9d7ad17242c41f7131d257212c54a0e816691'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x8ebaf22b6f053dffeaf46f4dd9efa95d89ba8580'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x90d81749da8867962c760414c1c25ec926e889b6'}, 'sora': {'decimal_place': 18, 'contract_address': '0x009be848df92a400da2f217256c88d1a9b1a0304f9b3e90991a67418e1d3b08c'}, 'energi': {'decimal_place': 18, 'contract_address': '0x665b3a802979ec24e076c80025bff33c18eb6007'}}"
unicly,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x94e0bab2f6ab1f19f4750e42d7349f2740513ad5'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x21ce5251d47aa72d2d1dc849b1bcce14d2467d1b'}}"
unidex,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xf0655dcee37e5c0b70fffd70d85f88f8edf0aff6'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x0483a76d80d0afec6bd2afd12c1ad865b9df1471'}, 'base': {'decimal_place': 18, 'contract_address': '0x6b4712ae9797c199edd44f897ca09bc57628a1cf'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x5429706887fcb58a595677b73e9b0441c25d993d'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x28b42698caf46b4b012cf38b6c75867e0762186d'}}"
union-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x5dfe42eea70a3e6f93ee54ed9c321af07a85535c'}}"
uno-re,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x474021845c4643113458ea4414bdb7fb74a01a77'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x474021845c4643113458ea4414bdb7fb74a01a77'}}"
urdex-finance,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x842216e0aa2ae608699f7b1063f26ce6b30c5311'}}"
just-stablecoin,"{'tron': {'decimal_place': 18, 'contract_address': 'TMwFHYXLJaRUPeW6421aqXL4ZEzPRFGkGT'}}"
unsheth,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xe60779cc1b2c1d0580611c526a8df0e3f870ec48'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x91d6d6af7635b7b23a8ced9508117965180e2362'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x51a80238b5738725128d3a3e06ab41c1d4c05c74'}}"
uwu-lend,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x55c08ca52497e2f1534b59e2917bf524d4765257'}}"
uxd-protocol-token,"{'solana': {'decimal_place': 9, 'contract_address': 'UXPhBoR3qG4UCiGNJfV7MqhHyFqKN68g45GoYvAeL2M'}}"
valas-finance,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xb1ebdd56729940089ecc3ad0bbeeb12b6842ea6f'}}"
value-liquidity,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x49e833337ece7afe375e44f4e3e8481029218e5c'}}"
equilibre,"{'kava': {'decimal_place': 18, 'contract_address': '0xe1da44c0da55b075ae8e2e4b6986adc76ac77d73'}}"
velocore,"{'zksync': {'decimal_place': None, 'contract_address': '0x85d84c774cf8e9ff85342684b0e795df72a24908'}}"
veax,"{'': {'decimal_place': None, 'contract_address': ''}}"
vega-protocol,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xcb84d72e61e383767c4dfeb2d8ff7f4fb89abc6e'}}"
vela-token,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x088cd8f5ef3652623c22d48b1605dcfe860cd704'}}"
velodrome-finance,"{'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x9560e827af36c94d2ac33a39bce1fe78631088db'}}"
verse-bitcoin,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x249ca82617ec3dfb2589c4c17ab7ec9765350a18'}}"
vestige,"{'algorand': {'decimal_place': 6, 'contract_address': '700965019'}}"
vig,"{'eos': {'decimal_place': None, 'contract_address': ''}}"
veno-finance,"{'cronos': {'decimal_place': 18, 'contract_address': '0xdb7d0a1ec37de1de924f8e8adac6ed338d4404e9'}}"
voltswap,"{'meter': {'decimal_place': 18, 'contract_address': '0x8df95e66cb0ef38f91d2776da3c921768982fba0'}, 'theta': {'decimal_place': 18, 'contract_address': '0xe6a991ffa8cfe62b0bf6bf72959a3d4f11b2e0f5'}}"
fusefi,"{'fuse': {'decimal_place': 18, 'contract_address': '0x34ef2cc892a88415e9f02b91bfa9c91fc0be6bd4'}}"
varen,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x72377f31e30a405282b522d588aebbea202b4f23'}}"
vesync,"{'zksync': {'decimal_place': 18, 'contract_address': '0x5756a28e2aae01f600fc2c01358395f5c1f8ad3a'}}"
vesper-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x1b40183efb4dd766f11bda7a7c3ad8982e998421'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x461d52769884ca6235b685ef2040f47d30c94eb5'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x09c5a4bca808bd1ba2b8e6b3aaf7442046b4ca5b'}}"
vesta-finance,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xa684cd057951541187f288294a1e1c2646aa2d24'}}"
vector-finance,"{'avalanche': {'decimal_place': 18, 'contract_address': '0x5817d4f0b62a59b17f75207da1848c2ce75e7af4'}}"
vvs-finance,"{'cronos': {'decimal_place': 18, 'contract_address': '0x2d03bece6747adc00e1a131bba1469c15fd11e03'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0x839e71613f9aa06e5701cf6de63e303616b0dde3'}}"
vaporwave,"{'aurora': {'decimal_place': 18, 'contract_address': '0x2451db68ded81900c4f16ae1af597e9658689734'}}"
vitex,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xbbdac6ca30ba9189c7bf67a1f7160379f7e25835'}}"
vyfinance,"{'cardano': {'decimal_place': 6, 'contract_address': '804f5544c1962a40546827cab750a88404dc7108c0f588b72964754f'}}"
wagyuswap,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x7fa7df4996ac59f398476892cfb195ed38543520'}, 'velas': {'decimal_place': 18, 'contract_address': '0xabf26902fd7b624e0db40d31171ea9dddf078351'}}"
wannaswap,"{'aurora': {'decimal_place': 18, 'contract_address': '0x7faa64faf54750a2e3ee621166635feaf406ab22'}}"
wanswap,"{'wanchain': {'decimal_place': 18, 'contract_address': '0x8b9f9f4aa70b1b0d586be8adfb19c1ac38e05e9a'}}"
moonwell-artemis,"{'moonbeam': {'decimal_place': 18, 'contract_address': '0x511ab53f793683763e5a8829738301368a2411e3'}, 'base': {'decimal_place': 18, 'contract_address': '0xff8adec2221f9f4d8dfbafa6b9a297d17603493d'}}"
white-whale,"{'osmosis': {'decimal_place': None, 'contract_address': 'ibc/EDD6F0D66BCD49C1084FB2C35353B4ACD7B9191117CE63671B61320548F7C89D'}}"
whiteheart,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x5f0e628b693018f639d10e4a4f59bd4d8b2b6b44'}}"
wigoswap,"{'fantom': {'decimal_place': 18, 'contract_address': '0xe992beab6659bff447893641a378fbbf031c5bd6'}}"
wing-finance,"{'ontology': {'decimal_place': None, 'contract_address': ''}}"
winr-protocol,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xd77b108d4f6cefaa0cae9506a934e825becca46e'}}"
wise-token11,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x66a0f676479cee1d7373f3dc2e2952778bff5bd6'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0xe7e3c4d1cfc722b45a428736845b6aff862842a1'}}"
wombex,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xa75d9ca2a0a1d547409d82e1b06618ec284a2ced'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x5190f06eacefa2c552dc6bd5e763b81c73293293'}}"
wombat-exchange,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xad6742a35fb341a9cc6ad674738dd8da98b94fb1'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0xc0b314a8c08637685fc3dafc477b92028c540cfb'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x7b5eb3940021ec0e8e463d5dbb4b7b09a89ddf96'}}"
